Date,AAPL,AMZN,FB,BRK.B,BAC,DIS,CVX,AIZ,DISH,DVA,COG,ALB,FBHS,BWA,ADS,AOS,DISCA,CPRI,AMG,COTY
2016-12-23,111.64148712158205,760.5900268554688,117.2699966430664,165.32000732421875,21.6190185546875,101.29705810546876,107.51468658447266,88.06031036376953,58.88999938964844,65.19999694824219,22.15671157836914,85.82052612304688,53.06057357788086,38.2941780090332,227.40103149414062,46.0611686706543,28.0,42.84000015258789,140.68214416503906,17.080322265625
2016-12-27,112.35051727294922,771.4000244140625,118.01000213623048,164.9499969482422,21.628582000732425,101.31631469726562,107.33309173583984,88.49457550048828,59.54999923706055,65.01000213623047,22.5067081451416,86.00410461425781,53.29219055175781,38.65080642700195,227.46920776367188,46.4463005065918,28.1200008392334,42.91999816894531,141.72764587402344,17.162652969360348
2016-12-28,111.87145233154295,772.1300048828125,116.91999816894531,163.75,21.360734939575195,100.47820281982422,107.05165100097656,87.97535705566406,58.95000076293945,64.30999755859375,22.283100128173828,83.65617370605469,52.28849792480469,37.90864562988281,222.4664459228516,45.82046890258789,27.88999938964844,43.13999938964844,140.37925720214844,16.915645599365234
2016-12-29,111.84270477294922,765.1500244140625,116.3499984741211,163.0500030517578,21.04505920410156,100.72866821289062,106.96993255615234,87.48445129394531,58.4000015258789,64.36000061035156,22.108102798461914,84.12960815429688,52.16303634643555,38.06285858154297,223.12826538085938,45.88786315917969,27.690000534057614,42.84000015258789,140.63328552246094,16.84245491027832
2016-12-30,110.97080993652344,749.8699951171875,115.0500030517578,162.97999572753906,21.140722274780273,100.40113067626952,106.8609848022461,87.663818359375,57.93000030517578,64.19999694824219,22.710872650146484,83.17305755615234,51.59363555908203,38.01466751098633,222.3982696533203,45.58938980102539,27.40999984741211,42.97999954223633,141.971923828125,16.750972747802734
2017-01-03,,,,163.8300018310547,21.552059173583984,102.19297790527344,106.9971694946289,,,,,,,,,,27.959999084472656,43.08000183105469,142.45069885253906,17.080322265625
2017-01-04,,,,164.0800018310547,21.953826904296875,103.50313568115234,106.96993255615234,,,,,,,,,,28.290000915527344,43.5,145.98782348632812,17.382221221923828
2017-01-05,,,,163.3000030517578,21.69554328918457,103.4453353881836,106.50689697265624,,,,,,,,,,27.20000076293945,42.099998474121094,144.19970703125,17.29988670349121
2017-01-06,,,,163.41000366210938,21.69554328918457,104.98670959472656,106.0801773071289,,,,,,,,,,27.479999542236328,42.47000122070313,143.87725830078125,17.45541000366211
2017-01-09,,,,162.02000427246094,21.57118797302246,104.38943481445312,105.17227935791016,,,,,,,,,,26.8700008392334,42.040000915527344,140.14472961425778,17.244993209838867
2017-01-10,,,,161.47000122070312,21.944259643554688,104.40869903564452,104.37329864501952,,,,,,,,,,26.34000015258789,43.38000106811523,139.98843383789062,17.34562873840332
2017-01-11,,,,162.22999572753906,22.0686149597168,105.42986297607422,105.25397491455078,,,,,,,,,,26.51000022888184,42.86999893188477,141.8937530517578,16.997982025146484
2017-01-12,,,,161.41000366210938,21.925127029418945,103.58983612060548,105.46280670166016,,,,,,,,,,27.20000076293945,42.650001525878906,140.29133605957028,16.961387634277347
2017-01-13,,,,161.89999389648438,22.01122093200684,104.10042572021484,105.66253662109376,,,,,,,,,,27.399999618530273,42.38999938964844,140.24244689941406,17.126062393188473
2017-01-17,,,,159.63999938964844,21.09288787841797,104.0137176513672,105.57174682617188,,,,,,,,,,27.809999465942386,43.560001373291016,138.15145874023438,17.47370719909668
2017-01-18,,,,160.49000549316406,21.647714614868164,104.19676208496094,105.26307678222656,,,,,,,,,,28.01000022888184,43.22999954223633,138.77682495117188,17.318180084228516
2017-01-19,,,,159.41000366210938,21.552059173583984,103.34900665283205,104.93621826171876,,,,,,,,,,28.0,42.02999877929688,138.10264587402344,17.016279220581055
2017-01-20,,,,160.2100067138672,21.65727996826172,103.71508026123048,104.95437622070312,,,,,,,,,,27.88999938964844,42.459999084472656,140.203369140625,17.400520324707028
2017-01-23,,,,158.80999755859375,21.580751419067386,103.19486236572266,104.76371002197266,,,,,,,,,,28.270000457763672,42.560001373291016,139.58781433105472,17.162652969360348
2017-01-24,,,,160.72000122070312,21.953826904296875,103.9462890625,105.65347290039062,,,,,,,,,,28.489999771118164,43.400001525878906,141.5419921875,17.382221221923828
2017-01-25,,,,164.25,22.355592727661133,104.0811538696289,106.44334411621094,,,,,,,,,,27.57999992370605,42.79999923706055,142.36276245117188,17.867094039916992
2017-01-26,,,,164.9199981689453,22.422555923461914,104.10042572021484,105.81689453125,,,,,,,,,,27.899999618530273,42.060001373291016,141.1609344482422,17.9036865234375
