Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,5.078125,4.8203125,5.078125,4.8359375,675200.0,2.327021360397339
2000-01-04,4.921875,4.828125,4.8671875,4.8359375,613600.0,2.327021360397339
2000-01-05,4.9375,4.84375,4.859375,4.859375,428000.0,2.3382997512817383
2000-01-06,4.8671875,4.78125,4.859375,4.796875,706400.0,2.308225154876709
2000-01-07,4.9375,4.8046875,4.8046875,4.9296875,3228800.0,2.3721330165863037
2000-01-10,4.96875,4.8515625,4.9375,4.875,889600.0,2.345818042755127
2000-01-11,4.9375,4.859375,4.875,4.859375,2004000.0,2.3382997512817383
2000-01-12,4.90625,4.84375,4.8671875,4.8515625,694400.0,2.3345398902893066
2000-01-13,4.8984375,4.8671875,4.8828125,4.8828125,602400.0,2.3495774269104004
2000-01-14,4.90625,4.84375,4.890625,4.84375,864800.0,2.330780506134033
2000-01-18,4.859375,4.7265625,4.859375,4.7578125,904800.0,2.2894287109375
2000-01-19,4.7734375,4.65625,4.75,4.703125,843200.0,2.2631125450134277
2000-01-20,4.7421875,4.671875,4.7265625,4.6796875,1096000.0,2.2518351078033447
2000-01-21,4.734375,4.671875,4.6875,4.671875,1508000.0,2.248074531555176
2000-01-24,4.734375,4.5625,4.734375,4.5703125,1733600.0,2.1992039680480957
2000-01-25,4.578125,4.3984375,4.578125,4.4609375,1386400.0,2.1465742588043213
2000-01-26,4.5,4.40625,4.4453125,4.4375,764000.0,2.135295867919922
2000-01-27,4.46875,4.3125,4.4375,4.34375,1005600.0,2.090184211730957
2000-01-28,4.3203125,4.1953125,4.3203125,4.2265625,1021600.0,2.1065378189086914
2000-01-31,4.328125,4.1640625,4.25,4.203125,1460000.0,2.0948562622070312
2000-02-01,4.234375,3.90625,4.234375,4.0546875,3586400.0,2.020874500274658
2000-02-02,4.140625,4.03125,4.09375,4.0625,2112000.0,2.0247690677642822
2000-02-03,4.25,4.109375,4.125,4.1875,1642400.0,2.087069511413574
2000-02-04,4.28125,4.125,4.21875,4.140625,574400.0,2.063706636428833
2000-02-07,4.140625,4.0703125,4.125,4.0859375,672800.0,2.036450147628784
2000-02-08,4.1875,4.0625,4.109375,4.125,1793600.0,2.0559186935424805
2000-02-09,4.1875,4.125,4.125,4.1640625,1509600.0,2.075388193130493
2000-02-10,4.2578125,4.1328125,4.1328125,4.203125,2168800.0,2.0948562622070312
2000-02-11,4.2578125,4.1640625,4.234375,4.1640625,1455200.0,2.075388193130493
2000-02-14,4.25,4.1328125,4.15625,4.2109375,1676000.0,2.098750352859497
2000-02-15,4.265625,4.1640625,4.2265625,4.25,1344800.0,2.118218421936035
2000-02-16,4.2421875,4.1171875,4.234375,4.1171875,1183200.0,2.052025079727173
2000-02-17,4.140625,4.015625,4.140625,4.0234375,1260000.0,2.0052998065948486
2000-02-18,4.0546875,3.9296875,4.0546875,3.9296875,1137600.0,1.9585736989974976
2000-02-22,3.9375,3.8828125,3.9375,3.9375,1024000.0,1.9624685049057007
2000-02-23,3.9296875,3.84375,3.9296875,3.875,901600.0,1.9313173294067383
2000-02-24,3.85546875,3.71875,3.84375,3.7578125,931200.0,1.8729106187820435
2000-02-25,3.875,3.71875,3.7890625,3.875,1556000.0,1.9313173294067383
2000-02-28,3.8984375,3.765625,3.8671875,3.8828125,770400.0,1.9352113008499146
2000-02-29,4.0,3.8203125,3.875,4.0,1099200.0,1.9936175346374512
2000-03-01,4.0859375,3.9375,3.984375,4.0625,864800.0,2.0247690677642822
2000-03-02,4.1484375,4.03125,4.03125,4.125,984000.0,2.0559186935424805
2000-03-03,4.15625,4.0625,4.15625,4.078125,835200.0,2.032554864883423
2000-03-06,4.1875,4.0625,4.109375,4.0859375,757600.0,2.036450147628784
2000-03-07,4.1015625,3.984375,4.0859375,3.9921875,1052800.0,1.9897245168685913
2000-03-08,4.0234375,3.90625,4.0,3.9140625,1135200.0,1.9507859945297241
2000-03-09,3.9140625,3.8515625,3.9140625,3.875,1499200.0,1.9313173294067383
2000-03-10,4.046875,3.875,3.875,3.96875,895200.0,1.9780431985855103
2000-03-13,4.140625,3.875,3.875,4.0546875,1528800.0,2.020874500274658
2000-03-14,4.2109375,4.03125,4.0625,4.0703125,1523200.0,2.0286624431610107
2000-03-15,4.21875,4.0625,4.0703125,4.15625,2005600.0,2.0714943408966064
2000-03-16,4.3984375,4.203125,4.203125,4.34375,1399200.0,2.164945125579834
